Vapp(Cathode) [V],P(Cathode) [V],I(Cathode) [A],Ie(Cathode) [A],Ih(Cathode) [A],Vapp(Anode) [V],P(Anode) [V],I(Anode) [A],Ie(Anode) [A],Ih(Anode) [A],Power [W]
0.0,0.0,-1.63621759037919e-17,-1.63621759037919e-17,2.74087001785291e-33,0.0,0.0,-4.75787726741131e-25,-4.442696119890111e-25,-3.15181147521195e-26,0.0
0.0,0.0,-1.474695205989e-10,-1.4746951883968e-10,-1.7592201600620098e-18,0.05,0.05,1.47469518903165e-10,1.47449406405578e-10,2.0112497587884e-14,7.373475945158269e-12
0.0,0.0,-7.33956212894966e-10,-7.33956199080524e-10,-1.38144416633192e-17,0.1,0.1,7.3395617401809e-10,7.33905859802416e-10,5.03142156734723e-14,7.339561740180899e-11
0.0,0.0,-2.5579263964555304e-09,-2.55792630056864e-09,-9.58868871566987e-17,0.15,0.15,2.5579264124178e-09,2.55781041527354e-09,1.15997144256909e-13,3.8368896186267003e-10
0.0,0.0,-6.61815069580507e-09,-6.61815005211672e-09,-6.43688344597954e-16,0.2,0.2,6.61815068105315e-09,6.6178331600751706e-09,3.17520977977794e-13,1.32363013621063e-09
0.0,0.0,-1.34319850087737e-08,-1.34319809124508e-08,-4.0963229383153005e-15,0.25,0.25,1.34319850006026e-08,1.34309696525604e-08,1.01534804220389e-12,3.35799625015065e-09
0.0,0.0,-2.30703609855285e-08,-2.30703383931243e-08,-2.25924042069019e-14,0.3,0.3,2.30703610226132e-08,2.30670880322978e-08,3.27299031542812e-12,6.921108306783961e-09
0.0,0.0,-3.55671041343341e-08,-3.55670135846232e-08,-9.054971087365721e-14,0.35,0.35,3.55671041254283e-08,3.55586460340113e-08,8.45809141696987e-12,1.24484864438999e-08
0.0,0.0,-5.08169631004433e-08,-5.08167293641427e-08,-2.33736300580685e-13,0.4,0.4,5.08169630959639e-08,5.08017905872662e-08,1.5172508697731898e-11,2.03267852383856e-08
0.0,0.0,-6.84953063176166e-08,-6.84948752775769e-08,-4.31040039679808e-13,0.45,0.45,6.84953063332377e-08,6.84745752892508e-08,2.07310439869192e-11,3.08228878499569e-08
0.0,0.0,-8.84564803209485e-08,-8.845580943804e-08,-6.70882908544227e-13,0.5,0.5,8.8456480326535e-08,8.84314229900685e-08,2.5057336466524397e-11,4.42282401632675e-08
0.0,0.0,-1.10687489143261e-07,-1.1068652710371e-07,-9.6203955093425e-13,0.55,0.55,1.10687489136182e-07,1.10658641900621e-07,2.8847235561196298e-11,6.08781190249e-08
0.0,0.0,-1.35173753415754e-07,-1.35172439352684e-07,-1.31406307007852e-12,0.6,0.6,1.35173753428816e-07,1.35141318776238e-07,3.2434652578626495e-11,8.11042520572899e-08
0.0,0.0,-1.61886698937289e-07,-1.61884965492095e-07,-1.73344519398179e-12,0.65,0.65,1.61886698948205e-07,1.6185077386476e-07,3.59250834450144e-11,1.05226354316334e-07
0.0,0.0,-1.90792746538585e-07,-1.90790521737368e-07,-2.2248012169548497e-12,0.7,0.7,1.90792746495148e-07,1.90753397370131e-07,3.9349125016552295e-11,1.33554922546603e-07
0.0,0.0,-2.21857525061035e-07,-2.21854733301338e-07,-2.79175969687892e-12,0.75,0.75,2.2185752505908e-07,2.21814808181237e-07,4.27168778432741e-11,1.6639314379431e-07
0.0,0.0,-2.55046887110465e-07,-2.55043449794345e-07,-3.4373161202483897e-12,0.8,0.8,2.55046887063864e-07,2.55000854058496e-07,4.6033005368625994e-11,2.04037509651091e-07
0.0,0.0,-2.90326943497547e-07,-2.90322779572142e-07,-4.16392540531629e-12,0.85,0.85,2.90326943513091e-07,2.90277642956057e-07,4.9300557033867694e-11,2.46777901986128e-07
0.0,0.0,-3.2766390004735e-07,-3.27658926519304e-07,-4.97352804546979e-12,0.9,0.9,3.27663899993238e-07,3.27611378048517e-07,5.25219447209556e-11,2.94897509993914e-07
0.0,0.0,-3.67023917034386e-07,-3.67018049478553e-07,-5.86755583257032e-12,0.95,0.95,3.67023917014279e-07,3.66968217786792e-07,5.5699227486274795e-11,3.48672721163565e-07
0.0,0.0,-4.08373024934457e-07,-4.08366177996776e-07,-6.84693768046125e-12,1.0,1.0,4.08373024931596e-07,4.08314190710374e-07,5.883422122231159e-11,4.08373024931596e-07
0.0,0.0,-4.51677085847524e-07,-4.51669173737437e-07,-7.91211008769521e-12,1.05,1.05,4.51677085794655e-07,4.51615157238716e-07,6.192855593883499e-11,4.74260940084387e-07
0.0,0.0,-4.96901792620299e-07,-4.96892729593096e-07,-9.06302720330315e-12,1.1,1.1,4.96901792608425e-07,4.96836808896213e-07,6.498371221233469e-11,5.46591971869268e-07
0.0,0.0,-5.44012673703131e-07,-5.4400237450206e-07,-1.0299201070447999e-11,1.15,1.15,5.44012673716129e-07,5.43944672670018e-07,6.800104611094279e-11,6.25614574773548e-07
0.0,0.0,-5.92975129179005e-07,-5.9296350945637e-07,-1.1619722634738098e-11,1.2,1.2,5.92975129180218e-07,5.92904147372396e-07,7.098180782233319e-11,7.11570155016262e-07
