Vapp(Cathode) [V],P(Cathode) [V],I(Cathode) [A],Ie(Cathode) [A],Ih(Cathode) [A],Vapp(Anode) [V],P(Anode) [V],I(Anode) [A],Ie(Anode) [A],Ih(Anode) [A],Power [W]
0.0,0.0,-1.67898409462578e-17,-1.67898409462578e-17,2.8465471336280797e-33,0.0,0.0,-4.7279668563891905e-25,-4.42314868696888e-25,-3.04818169420318e-26,0.0
0.0,0.0,1.77746929184551e-10,1.77746928880449e-10,3.0410210710411404e-19,-1.0,-1.0,-1.77746949766442e-10,-1.77679776233209e-10,-6.71735332327907e-14,1.77746949766442e-10
0.0,0.0,2.82119999844184e-10,2.82119999539161e-10,3.05023716212602e-19,-2.0,-2.0,-2.8212001956432e-10,-2.8204333765758e-10,-7.66819067395927e-14,5.64240039128639e-10
0.0,0.0,3.54633681069136e-10,3.54633680763211e-10,3.05924908783532e-19,-3.0,-3.0,-3.5463369464958e-10,-3.54553214493737e-10,-8.04801558429531e-14,1.06390108394874e-09
0.0,0.0,4.03529814804421e-10,4.0352981449755003e-10,3.0687156648588602e-19,-4.0,-4.0,-4.0352979978991e-10,-4.03448004508382e-10,-8.17952815275857e-14,1.61411919915964e-09
0.0,0.0,4.36591044829347e-10,4.36591044521481e-10,3.0786633651861303e-19,-5.0,-5.0,-4.36591043988987e-10,-4.36508536416181e-10,-8.250757280693601e-14,2.1829552199449403e-09
0.0,0.0,4.5938243796721e-10,4.59382437658306e-10,3.08903571610459e-19,-6.0,-6.0,-4.59382442184044e-10,-4.59299465731081e-10,-8.29764529632526e-14,2.7562946531042604e-09
0.0,0.0,4.75495918693903e-10,4.75495918383924e-10,3.0997825532346004e-19,-7.0,-7.0,-4.75495935149983e-10,-4.7541260216895e-10,-8.333298103270361e-14,3.3284715460498803e-09
0.0,0.0,4.87187476692772e-10,4.87187476381684e-10,3.11087725954562e-19,-8.0,-8.0,-4.8718752118468e-10,-4.87103892105947e-10,-8.36290787330401e-14,3.897500169477441e-09
0.0,0.0,4.95881585509031e-10,4.958815851968e-10,3.1223057920137e-19,-9.0,-9.0,-4.95881602481478e-10,-4.95797720664977e-10,-8.38818165010426e-14,4.4629344223333006e-09
